,CEO,Company Name,Company website,Email,Emp_range,Founded Date,Location,Long_description,Phone,Short_description,Tags,e27_url
40,gharpeshiksha,gharpeshiksha,https://www.gharpeshiksha.com/,,,January 2016,India,"GharPeShiksha is a home tuition provider in Delhi NCR. We are also in Mumbai. As a home tutor, you can earn part-time.",,home tutors,Education,https://e27.co/startups/gharpeshiksha
41,"William Lim,Goh Chee Yim,Chris Ng,Goh Chee Yim,Chris Ng,Chris Ng",IdealHub.com,https://www.idealhub.com,,,October 2017,Malaysia,"IdealHub platform supports both daily (short-term) and monthly (mid to long-term) whole unit or room rentals. We offer subscription-based model to renters where our members has guarantee WYSIWYG listings, after move-in services and rent-as-you-go feature. 

So far, IdealHub web app already has the capability to book and pay (for daily rental), sign contract and pay recurring rental (for monthly rental). Our roadmap is to add O2O services like add-on cleaning, moving, laundry, etc as well as redeem discount codes for shops at surrounding neighbourhood. 

We have also developed our custom-made owner portal, hospitality management, property management and payout features within IdealHub platform for our internal customer service, operation and accounting in order for us to scale and reduce operation cost. We have been managing more than 120 units with 3 customer service staffs using our platform.

We want to be the largest real-estate platform that supports both online-to-offline (O2O) property services in South East Asia.",,IdealHub is O2O property rental platform. Our platform and service bridge the trust between landlords and guests/tenants for daily (home-stay) and monthly (mid to long-term) rental,Information & Communications Technology Real Estate,https://e27.co/startups/idealhub-com
42,,Hopscotch,http://www.hopscotch.in/,,,undefined 0,India,"Hopscotch is fabulous! It's an online store offering insider access to today’s top baby and kids brands from around the world, at unbeatable prices. From apparel, to shoes, and other goodies, we hand select the best styles and products for you, your baby, and your children. Hopscotch loves to bring moms the best for her and her child without having her step out of her homes. Become a member and enjoy exclusive access to hard to find brands in limited quantities.",,"Hopscotch is fabulous! It's an online store offering insider access to today’s top baby and kids brands from around the world, at unbeatable prices.",Advertising E-commerce,https://e27.co/startups/hopscotch
43,Adrian Liew,Beknown,http://www.wearebeknown.com,,,August 2016,Singapore,"OPPI changes the way how leaders engage their people. It helps leaders to know their audiences before they engage them and crowdsource ideas for their most difficult issues. OPPI provides a platform where leaders and their people can communicate on an open and fair platform. OPPI is an AI-powered conversation platform that helps leaders around the world to inform decision-making. OPPI  combines quantitative and qualitative methods with state-of-the-art market research and pulse sensing metrics to help leaders to engage deeply with their people.

Beknown is founded in 2016 and is a digital communications solutions firm. In 2020, it is also the finalist for Marketing Magazine's Agency of the Year award.",,"Beknown has rolled out its leader engagement tool, OPPI, to help leaders to engage people better! OPPI is an AI crowdsourcing tool to help leaders to have an open platform where conversations happen.",Artificial Intelligence Big Data Agency & Consulting Information & Communications Technology,https://e27.co/startups/beknown
44,Skillcard Inc.,Skillcard Inc.,http://www.skillcard.com,,,January 2020,United States of America,Holding company for Mobreel,,Holding company for various companies,Information & Communications Technology Mobile,https://e27.co/startups/skillcard-inc
45,Sully Bholat,Flexible Pass,http://www.flexiblepass.com,,,June 2017,Burma,"Flexible Pass is the No. 1 Fitness and Wellness App in Myanmar that gives users access to over 200+  locations in 10 cities of Myanmar to make bookings for 30 different types of fitness & wellness activities.

The vision of Flexible Pass is to help people in Myanmar live a healthier lifestyle by providing them with affordable and flexible fitness and wellness options.

The fitness activities that can be accessed using Flexible Pass are gym usage, boxing, indoor skydiving, rock climbing, tennis, swimming, yoga etc and wellness activities that can be accessed are spa, aesthetics etc


Users can purchase Flexible Pass points to start making bookings at the partner locations of Flexible Pass. The points of Flexible Pass can be reloaded in 3 amounts: 30 points, 50 points and 100 points where 1 point= $1

It costs anywhere from 1 point to 200 points to make bookings using Flexible Pass and the cost of points depend on the activity booked and users save up to 40% from booking with Flexible Pass compared to the standard walk-in prices of the partner locations.",,Flexible Pass is a healthy lifestyle app that allows users to discover and book over 50 different categories of lifestyle activities and products at over 200+ locations in 10 cities of Myanmar,Healthtech Sports,https://e27.co/startups/flexible-pass
46,Glenn Low,SmartJen,https://www.smartjen.com,,,March 2017,Singapore,"Lesson follows one-size-fit-all approach. Providing personalised education is not scalable and inefficient. Admin works takes up >60% of educators time. Based on our survey with 100+ tutors, 92.9% agreed on the importance of automating assessment of students through technology.

We want to make providing personalised education easy and efficient, through data & AI technology. SmartJen is an adaptive learning system that integrates learning, content and performance system all in one place, powered by data & AI technology. We emphasise on offline-to-online, digitisation and personalisation.

Our key technology includes Optical Character Recognition, Handwriting Recognition & Recommendation System.

We zoom in to SEA countries (SG, MY, ID, VN) alone, we estimated about 77.95M of K-12 students. The target market size here is about $4.68B, assuming monetisation of $5/user/month. We aim to focus in these few countries due to the higher demand of quality education and the rise of middle class income family. 

Due to COVID19, we have seen increasing demand in e-learning, and we believe this is the right moment for us to scale up.",,"SmartJen is a K-12 adaptive learning system for educators. We make providing personalised education easy and efficient, through data & AI technology.",Education Big Data Artificial Intelligence,https://e27.co/startups/smartjen
47,Tadas Kasputis,ExMarkets,https://exmarkets.com,,,December 2017,British Virgin Islands,"ExMarkets is a digital asset exchange platform powered by the state-of-the-art trading engine developed in-house. On the exchange, ExMarkets users can trade the most popular cryptocurrencies as well as gain the chance to participate in the token sales of the most promising blockchain and crypto projects through ExMarkets Initial Exchange Offering (IEO) LaunchPad.

Fairly recently ExMarkets was granted 2 operational licenses for crypto-fiat gateway and custodian service provision by the Estonian regulator making it one of a few certified players in the market.

It takes only a few minutes to set up your account and users are allowed to make deposits in Bitcoin, Ethereum, other supported cryptocurrencies, tokens, and most importantly Euros.

To top it all off, ExMarkets is a part of the CoinStruction liquidity framework which is aggregating order-books from the most well-known cryptocurrency exchanges guaranteeing 24/7 crypto liquidity — a feature which can seldom be seen in the current market.

All IT solutions and technology of ExMarkets and CoinStruction’s services are developed in-house guaranteeing that all security threats and third-party associated risks are kept at minimum levels throughout all stages of product deployment.",,Trade. Master. Profit. ExMarkets,Finance,https://e27.co/startups/exmarkets-exchange
48,Emily Watson,Proglobalbusinesssolutions,https://www.proglobalbusinesssolutions.com/,,,April 2013,India,"Proglobalbusinesssolutions are among the most reputed names in the BPO industry. 

We are among the recognized names providing services across various domains at most competitive pricing, high quality, and good turnaround time to global customers.

Service inclusions for domestic and international clientele encompass

•	Call Center
•	Data Entry
•	Graphic Designing
•	E-publishing
•	Photo Editing

Proven track record and diversified portfolio have always allured customers to shake hands with the vibrant team here.",,We provide premium and cost effective business process outsourcing services to global clients.,Design,https://e27.co/startups/proglobalbusinesssolutions
49,Vineet Chawla,Rentickle,https://www.rentickle.com/,,,November 2015,India,"Rentickle is a one stop shop for renting trendy furniture, home appliances, fitness equipment, cars, bikes, cameras and other lifestyle products.

RENTICKLE HELPS YOU TURN YOUR RENTAL HOUSE INTO A HOME.

They know the effort it takes to find the perfect rented house to stay in a new city. And also know that turning it into a home isn't one bit easy. That is why we created Rentickle - a one stop shop for easily renting furniture, appliances and other home furnishing essentials starting at just Rs. 99 per month. With a range of high-quality stylish products to choose from at very affordable prices, you will never want to buy second-hand goods again!

Choose from their wide range of brand-new* or refurbished products, available on different tenure options to suit your needs. And because we really care about your wallet... the longer you rent the more you save! So go on, find something you love and turn your rental space into a home you'd love to come back to everyday.

This started off in November 2015, and today in a short period of four years , have serviced diverse clients from various walks of life-  students, young professionals, newly married couples, expats, hotels and large corporate houses. Please visit www.rentickle.com for more details.",,"Rentickle is a one stop shop for renting trendy furniture, home appliances, fitness equipment, cars, bikes, cameras and other lifestyle products.",E-commerce Finance,https://e27.co/startups/rentickle
50,,Ricult,http://www.ricult.com/,,,October 2016,Thailand,"Founded in 2015 by Massachusetts Institute of Technology’s , Ricult combines “in-depth” expertise in weather analysis with satellite technology to develop a platform to help farmers and agribusinesses manage their farms more effectively.

It currently has information of 200,000 Thai farmers and 100,000 global farmers on its platform,",,Provides Artificial Intelligence-powered farming solutions,Agritech,https://e27.co/startups/ricult
51,Matthew  Tippetts,Clik,http://www.clik.asia,,,January 2016,Cambodia,"As a cloud-based payment aggregator, we have the power to engage with a vast number of merchants and consumers by facilitating payments directly from bank accounts, cards and other wallet applications (as well as our own). Merchant and data driven, we take transactions from any of these sources, enrich this data using over 30 parameters, and generate anonymised data that we securely provide to merchants in the form of powerful consumer insight dashboards. The power of Clik's data insights allows merchants to better understand who their customers are and create tailored marketing campaigns as well as reward schemes to effectively engage their audience through the Clik platform – driving repeat purchases, increasing loyalty and raising profits.

Our business model revolves around data monetisation - we transform our data into a valuable tool for merchants and partners to grow revenues.

 Our user experience is incredibly seamless. Thanks to our unique, eKYC technology and customised CRM/SFA tools, we have the ability to rapidly onboard users digitally, while maintaining the highest levels of security. State-of-the-art facial recognition and AI driven fraud detection ensures that data stored is not only safe but also highly accurate. Our consumers have access to a multi-faceted solution including contactless payment features, personalised loyalty-driven cash rewards, data privacy, security and financial control.

To date we have raised over $3.5m seed financing. We have beta partnerships ready to scale-up with 6 financial institutions who want to use our eKYC to onboard their customers, linking us to 2m bank/wallet accounts. We also have beta agreements with close to 1,600 merchants, distributors & partners, giving us access to a further 55,000. This is why we are very confident in becoming the country’s leading merchant network and payment application within a year and expand across the Mekong region.",,"Clik - One platform. All payments. Although merchant-focused, we are driven by a need to provide a safe, simple and incredible payment experience for everyone, everywhere.",Big Data Finance,https://e27.co/startups/clik
52,Ridho Irawan,Umroh.com,https://umroh.com/,,,May 2019,Indonesia,"Vision
• Become the largest one-stop-service provider for umrah, hajj & muslim travel needs.

Mission
• Provide seamless trip experience, from preparation, booking, arrival, experience destination & travel back home.
• Innovating new solutions to make things easier, faster, better, and more cost-effective to make Masjidil Haram become closer than ever for any muslim.",,"We build technology around muslim travel ecosystem, so any stakeholders from consumers, travel operators, airlines, hotels & enterprises can work together experience Saudi Arabia’s two holy cities.",Travel Marketplace Software as a Service Advertising,https://e27.co/startups/umroh-com
53,Venkatasubramanian Sethuraman,FPL Online Pte Ltd,https://www.fpl-online.com,,,October 2017,Singapore,"A Secured Digital Platform-Web & Mobile that Instantly Connects Customers and Financial Planners & Professional Service Providers

Salient Features:
For Customers :
1) Connect through Chat & Secured Inbox Email
2) E-Records Facilitating Nominations 
3) Notifications for Renewal of Insurance Policies.

For Insurance Companies :
1) Provide a Free Expert Account to Highlight their Insurance Products and Handle FAQ's

For Financial Planners and Professional Service Providers
1) It is a Customer Generation and Customer Management Tool
2) As Customer Search is Location Based there is a Fair Opportunity for All Service Providers.",,A Secured Digital Platform-Web & Mobile that Instantly Connects Customers and Financial Planners & Professional Service Providers,Insurtech Marketplace,https://e27.co/startups/fpl-online-pte-ltd
54,Kratika Jain,Prefme,https://prefme.com/,,,October 2016,India,"An innovative contactless hospitality solution, Prefme allows guests to specify their detailed travel preferences and access personalized services. It helps hotels to enable contactless and safe guest experiences, simplify operations, increase revenues and reduce costs.

The Prefme technology enables hotels to deliver hyper-personalized experiences to their guests as travellers around the world can share their in-depth Eat & Stay preferences on the Prefme app even before they arrive.

The Prefme platform ensures fully contactless hotel operations for the full cycle of the guest journey, from pre check-in to post checkout. No longer guests are required to download multiple hotel apps. Just the Prefme app simplifies travel across the globe and makes it easy to organize stays at any Partner hotel.

Key Features –

• Stay preferences to personalize in-room amenities and ambience

• Eat preferences to customize meals consumed in the hotel

• Multilingual Chat to connect with hotel staff anytime, anywhere

• Easy contactless pre check-in and checkout to avoid reception queues

• Pre-booking of Partner hotel services for a relaxed experience

• Hygienic in-room dining via digital menu and in-app ordering

• Food QR Scanning to avoid allergies and view ingredients list

• Loyalty Cards wallet to save cards and redeem offers on-the-go",,"Prefme is the world’s most innovative contactless hospitality app that connects guests to luxury hotels & resorts to deliver a fully safe, contactless, seamless & hyper-personalised hotel experience .",Information & Communications Technology Software as a Service,https://e27.co/startups/prefme
55,Miguel Mendoza,TELNOVO,https://www.telnovo.net,,,November 2013,Philippines,TELNOVO is CLOUD Communications Service Provider based in the Philippines,,TELNOVO is CLOUD Communications Service Provider. We give small and medium size businesses the quality features of enterprise cloud telephony.,Information & Communications Technology Enterprise Solution,https://e27.co/startups/telnovo-communications
56,Bhagaban Behera,Walrus,https://walrus.club,,,January 2019,India,"Walrus is a neobank ( modern digital-only bank ) for teenagers in India. Although teenagers in India are quite tech-savvy and want to be independent, there isn't any good banking/payments solution targeting this segment as their primary customer. Walrus is building the next-generation banking and rewards platform for the 100 million teenagers in India with the objective of giving them financial freedom and teaching them good money habits.",,Neobank for teenagers in India.,Finance,https://e27.co/startups/clubwalrus
57,Sho Nishikawa,Jadore Pte. Ltd.,https://jadore-consulting.com/,,,July 2019,Singapore,"Jadore aims to establish ""Digital Sustainability"" for Entertainment industry.

Project: App Ecosystem for sustainable development
 Create effective platform for Mobile App industry backed by reasonable offshore resource in Vietnam.

The Platform provides:
- App Marketplace to trade wasted Apps
- Consulting for App Design, Monetization or Marketing
- Development Resource
- Project Management
- Live-Operation support

Company Founded 2019 by Sho Nishikawa, who contributed Mobile Game Industry 10+ years in Japan, Singapore and Vietnam.",,"Establish Ecosystem for entertainment industry with the Platform. App trading, Dev resource, Publishing/Marketing/Live-Operation support and Consulting. For any related entities around the industry.",Information & Communications Technology,https://e27.co/startups/jadore
58,Rapid Guys,Rapid Guys,http://www.rapidguys.com/handyman-services/,,,December 2008,United Arab Emirates,"Working In The Residential And Commercial Moving Business For 5 Years, Under The Company Name Of “Rapid Movings”, We Have Developed And Excellent Reputation For Quality, Honesty And Reliability. We Are Now Providing Home Maintenance Services Like, Repairing, Electrical Works, Maintenance, Deep Cleaning Along With Disinfection & Sterilization Services, Landscape And Pool Services.",,One Rapid Solution To All Your Problems,Consulting,https://e27.co/startups/rapid-guys
59,Mick Josen,Babysoft Software,https://www.babysoft.in/,,,July 2009,India,"Babysoft is the new name round the corner for the optimized website design and web development at reasonable price. In the hands of experienced, talented and competent individuals Babysoft is one of the leading provider for eCommerce solution, mobile apps, web applications, intranet application and other custom software applications.",,"We provide 100% customer satisfaction, we have adopted an agile approach that let us achieve maximum customer satisfaction.",Software as a Service,https://e27.co/startups/babysoft-software
60,kavindra Lester,Algol IT Solutions,https://www.algolitsolutions.com/,,,April 2005,Canada,"We are a team of IT professionals, always willing to serve you and take your business to the next level.At Algol IT Solutions, our experienced IT professionals serve you with the best suited IT solution and support service to fulfill your business requisites and help your organization stay ahead in this competitive era of advancing technology.",,"Founded in 2005, Algol is a leading provider of IT solutions and support services for all SMB and enterprise.",Information & Communications Technology Cybersecurity,https://e27.co/startups/algol-it-solutions
61,"Kimmy Chen,Fiona Chou,Patricia Lu,Frank Gong,Ju-Chia (Candy) Hsu,Neil Huang,Fiona Chou,Patricia Lu,Frank Gong,Ju-Chia (Candy) Hsu,Neil Huang,Patricia Lu,Frank Gong,Ju-Chia (Candy) Hsu,Neil Huang,Frank Gong,Ju-Chia (Candy) Hsu,Neil Huang,Frank Gong,Ju-Chia (Candy) Hsu,Neil Huang,Frank Gong,Ju-Chia (Candy) Hsu,Neil Huang",iKala,https://ikala.tv,,,May 2011,Taiwan,"iKala's mission is to ""enable AI competencies"" of our enterprise customers, to increase their customer acquisition capability and customer lifetime value, by providing AI-driven digital transformation and data-driven marketing solutions, services include iKala Cloud, KOL Radar, Shoplus, and CloudAD. More than 400 enterprise customers across 12 industries, along with 15,000+ advertisers, including Fortune 500 companies, have used iKala's technology to transform their business, reach and sell to their customers with AI. iKala is proudly recognized as ""Google Technology Partner"", ""Google Cloud Premier Partner"", and ""Facebook Partner for Messaging Solution"". iKala is operating in Taiwan, Singapore, Japan, Hong Kong, Philippines, Thailand and Vietnam. As a customer-centric company, we are dedicated to creating more value for customers by continuously investing in our services and innovation.",,Asia's Leading Human-Centered AI Company,Artificial Intelligence E-commerce,https://e27.co/startups/ikala
62,Vedang Shahane,Impester Media,https://impestermedia.in,,,May 2017,India,Impester Media is a premium digital marketing agency that specializes in helping business and profiles with different backgrounds to enhance their digital footprint.,,Digital Marketing Firm,Media,https://e27.co/startups/impester-media
63,Afzal Anis,Fametick Media Inc,http://www.fametick.in,,,April 2020,India,"Fametick is one of the top Public Relations companies. As a PR Agency, we have worked with Top Entrepreneur and helped them shape their communications strategy, publicity channels, and public relations marketing. We provided them with the main functions of public relations such as media relations and press release management.",,"Fametick is a public relations and marketing agency that specializes in media placements, personal branding, and marketing strategy.",Media PR & Communications,https://e27.co/startups/fametick-media-inc
64,Neelesh Bhatia,Akadasia,https://www.akadasia.com,,,June 2019,Singapore,"Akadasia is a mission driven EdTech business that aims to democratise education by empowering educators everywhere with the skills & the technology needed to teach 21st century learners. We empower educators everywhere in three ways:

1. We help educators develop teaching skills for the 21st Century
2. We provide educators with the tools needed to create engaging content
3. We provide a platform that allows all learners, free access to digital education",,Empowering Educators Everywhere,Education,https://e27.co/startups/akadasia
65,"April Tayson,Prisca Akhaya T.,Prisca Akhaya T.",Adjust,https://www.adjust.com,,,January 2012,Germany,"Adjust is a global B2B SaaS company. Born at the heart of the mobile app economy and grown out of a passion for technology, the company now has 16 offices around the world. 
 
Adjust’s platform includes measurement, fraud prevention, cybersecurity and marketing automation products. Together, they make marketing simpler, smarter and more secure for the 32,000 apps working with Adjust. Global leading brands including Procter & Gamble, Rocket Internet and Tencent Games have implemented its solutions to secure their budgets and improve results.",,Adjust is a global B2B SaaS company with 16 offices around the world.,Advertising,https://e27.co/startups/adjust
66,Edward,Velocity,https://velocity.sg,,,April 2019,Singapore,"OUR MISSION

Be Fast. Be Focused. Be First.

We work with our partners to unlock insights and use our foresight to reimagine game plans.

We seek out and bring together the right people who can deliver the right fintech innovation.

We work with our partners to build capabilities that transform them to triumph tomorrow.


OUR STORY

We are a team of practitioners out to deliver game-changing fintech innovation.

We put our heads together as a team to offer our partners solutions that wows.

Our partners are assured of our commitment to deliver solutions that works.

Based in Singapore, we specialize in:
• Blue Ocean Innovation
• Business Model Innovation
• Deal Negotiation Advisory
• Corporate Finance Advisory
• Corporate Growth Roadmap
• Digital Transformation Roadmap
• Operations Research
• Organizational Design",,We design and deliver game-changing fintech innovation. Be Fast. Be Focused. Be First.,Consulting Finance Enterprise Solution,https://e27.co/startups/velocity
67,Ha Michelle Nguyen,Amanotes,https://amanotes.com/,,,December 2014,Singapore,"We are Amanotes! A fast-growing startup in the music-tech industry from Vietnam. We seek to delight people with interactive music experiences. 

Since 2014, 30+ music games and mobile applications were published under our name with more than 1 Billion downloads worldwide and nearly 100 million monthly active users. In 2019, we were proudly listed as the #1 mobile apps publisher from Southeast Asia, the #1 music games publisher in the world, and one of the top 20 mobile apps publishers in the world across all categories. 

If you love to work in a friendly and fun environment with music all around the corner, come join us!

Explore our products on Google Play and iOS App Store such as Magic Tiles 3, Tiles Hop, Dancing Ballz, and more!",,We are Amanotes! A fast-growing startup in the music-tech industry from Vietnam. We seek to delight people with interactive music experiences.,Entertainment Gaming Mobile,https://e27.co/startups/amanotes
68,csschopper,CSSChopper,https://www.csschopper.com/,,,July 2009,United States of America,"CSSChopper is a leading technology partner for offering front-end development, custom web development, and dedicated hiring. We specialize in providing businesses with custom web development services. With the integration of the latest technological tools, PHP, Javascript, Ruby on Rails, etc. We have been delivering front-end and custom web development solutions for more than a decade. Our umbrella of front-end development services includes PSD conversion to HTML, CSS, Magento, Drupal, WordPress, Joomla, and Prestashop. Our certified and experienced developers are trained to create web solutions with clean and robust codes. We convert PSD, Sketch, PNG, AI, JPG, PDF, and other design files into pixel-perfect and responsive web pages that are loved by Google. Below is the list of our high-end services:

Front-End Development:
PSD To HTML
PSD To Wordpress
PSD To Magento

Custom Web Development:
eCommerce Web Development
Wordpress Web Development
PWA Web Development

Dedicated Hiring:
Hire Web Developer
Hire HTML Developer
Hire Shopify Developer",,CSSChopper is the prominent front-end service provider which works on the latest technologies and frameworks.,Agency & Consulting Design Information & Communications Technology Software as a Service,https://e27.co/startups/csschopper
69,Prisca Akhaya T.,Date Out,https://www.dateout.co/,,,January 2018,Singapore,A curated marketplace app where you can find new and innovative activities and customised gift ideas. Say goodbye to the word BORING and say hello to a whole new world of FUN.,,"Date Out is a marketplace platform curating one of a kind dating experiences, activities and personalized gifts.",Media Information & Communications Technology,https://e27.co/startups/date-out
70,Prisca Akhaya T.,JurisTech,https://juristech.net/juristech/,,,January 1997,Malaysia,"JurisTech (Juris Technologies Sdn Bhd) is a Malaysian Financial technology company that serves most major banks in Malaysia specializing in predictive artificial intelligence module, debt collection software, loan origination management, credit scoring solution, plus conveyancing and loan documentation systems.
Began in 1997 during the Asian Financial Crisis, JurisTech moved from offering data mining and analytical tools to credit management and litigation software.",,JurisTech (Juris Technologies Sdn Bhd) is a Malaysian Financial technology company that serves most major banks in Malaysia,Finance,https://e27.co/startups/juristech
71,Kesara Wimal,Devro LABS,https://devrolabs.com,,,April 2018,Sri Lanka,"Devro LABS is crafting products since 2018 for users all around the world. We empower millions of users worldwide by enhancing their privacy over the internet and by unleashing their full potential with email productivity.

We believe that everyone has an equal opportunity to protect their privacy over the internet. That why we keep our products for free and no paid package included.",,Devro LABS provides tools for everyone to protect their online privacy and unleash their full potential with email productivity.,Software as a Service,https://e27.co/startups/devrolabs
72,Ngiam Li Yi,Idea Ink,http://ideaink.co,,,July 2015,Singapore,"Idea Ink is a Singapore-based visual consultancy illustrating insights - at speed and scale.

We specialise in real-time illustrated visual summaries (graphic recording), interactive hand-drawn infographics, and related digital solutions. 

We've worked in about 15 countries to date, illustrating for Google, Huawei, LinkedIn, The Economist, and more.",,Idea Ink is a Singapore-based visual consultancy illustrating insights - at speed and scale.,Design,https://e27.co/startups/idea-ink
73,"Massimo Alberti,Dr. Bert Grobben,Dr. Bert Grobben",REVIVO BioSystems,https://www.revivobio.com/,,,November 2019,Singapore,"REVIVO Biosystems provides integrated microfluidic systems for automated and efficient screening of chemicals, drugs and cosmetic products, and for disease studies, with the aim to transform the preclinical research market and make it scalable, automated and ethical.

REVIVO BioSystems'​ line of organ-on-chip products is based on novel microfluidic devices and complementary systems for integration of tissue explants or 3D cell cultures with automated testing procedures. Explants can be placed in or 3D cell co-cultures can be “grown-in” these organ-on-chip systems that mimic the function of blood flow and create a unique micro-environment so that in vivo-like conditions and properties are established.

Applications include and are not limited to safety and efficacy studies, such as skin permeation, skin irritation, and response to therapeutics. REVIVO offers a complete solution to our customers that includes the microfluidic devices, an automated testing platform and our skin models. REVIVO also provides toxicology and permeation testing, and develops new tissue models and customized disease models.

REVIVO Biosystems'​ vision is to become the leading provider of enabling technology for ex vivo and in vitro safety, efficacy and disease studies.",,"We develop novel testing platforms to help chemical, cosmetic & pharmaceutical research labs screen the safety & efficacy of their products in a more efficient and accurate way, without using animals",Biotech Manufacturing,https://e27.co/startups/revivo-biosystems-pte-ltd
74,Ranjeet Rustogi,Sqwift Stars,https://sqwift.com,,,July 2019,Singapore,"Sqwift Stars is an omnichannel platform allowing celebs to monetize their fanbase. Each interaction enables authentic 1-on-1 interaction & experiences for both Stars and Fans.

Sqwift Stars is what Instagram & Twitter couldn't be. While they showed the world the power of a platform where celebrities can communicate directly with the world, the incredibly low barrier to entry reduced these interactions to be one-sided (from a practical point of view), and yet marred by skewed algorithmic feeds, distractions from trolls and time & soul sucking meaningless engagement.

For the Stars,  Sqwift provides an exclusive platform where they can directly connect and communicate with their REAL Fans in safe, secure environment to build REAL Connections without the ""gatekeepers"" viz. agents, managers, PR advisors and everyone else that stands to gain or lose from these interactions.

For users, Sqwift Stars acts as a conduit for YOUR stars to connect directly with YOU. Have the biggest Stars in Asia craft personalized video messages, advice, greetings or words of encouragement and inspiration for you or your friends, loved ones, colleagues or strangers (why not?) to keep & cherish forever.",,World's only marketplace for A-list celebrities to engage with & monetize their fanbase via personalized video messages,Blockchain Consumer Entertainment Marketplace Media Mobile PR & Communications,https://e27.co/startups/sqwiftstars
75,"Anjan Pathak,Ritrisha Baruah,Ritrisha Baruah",Vantage Circle,https://www.vantagecircle.com/,,,October 2011,India,"Vantage Circle is a one-stop employee engagement and employee benefits platform. We provide world-class employee engagement solutions to corporates with our three primary modules, namely the Employee Discount platform, Employee Rewards and Recognition Program, and an integrated Employee Health and Wellness program. Our comprehensive and cost-effective platform is designed to help organizations in attracting and retaining key employees. Our four products are:

1. Vantage Rewards: A point-based rewarding, peer-to-peer appreciation and social recognition platform.

2.  Vantage Perks: An employee discount platform that offers a wide range of deals and discounts from leading brands.

3. Vantage Pulse: A powerful employee survey tool that helps you measure employee engagement, boost performance and improve company morale in the workplace.

4. Vantage Fit: An advanced and customizable health and wellness mobile app aiming to rejuvenate the overall wellness of employees.

Presently, our user base is 1M+ employees from some of the top corporates in India like HCL, Accenture, Infosys, WIPRO, Aricent, GE, Mu Sigma, Capgemini and many more. 

We, at Vantage Circle, understand that managing human resources efficiently is a humongous task. To overcome any deviations in this task, we provide an integrated platform using cutting-edge technology to help corporates in building a more engaged, motivated and productive workforce.",,"Bridge the gap between you and your employees by building an engaged, productive and happier workplace.",Human Resources E-commerce Software as a Service,https://e27.co/startups/vantage-circle
76,Ashish Trivedi,KyoPay Technologies,http://kyopay.com.mm,,,September 2018,Burma,Myanmar's first invoice discounting platform,,Myanmar's first invoice discounting platform. Started in 2018 as a joint venture between Acudeen (PH based invoice discounting company) and Anthem Asia Fund for Myanmar.,Finance,https://e27.co/startups/kyopay-technologies
77,,Banyan Nation,http://www.banyannation.com/,,,January 2013,India,"Banyan uses mobile, cloud technology and IoT to integrate informal sector last-mile collectors into its supply chain. The platform has now been extended to help cash-strapped municipalities understand waste flows through their cities and use a data-centric approach to make waste management more efficient.",,Converts collected waste into recycled granules that brands can use for products and packaging,Energy,https://e27.co/startups/banyan-nation
78,Joe Khoo,iStore iSend,http://www.istoreisend.com/,,,November 2015,Malaysia,"Our Company's Vision is to become the gateway to digital commerce in South East Asia. We offer the full spectrum of operational services, from outsourcing eCommerce logistics to eCommerce Operations, we are able to transform our clients business digitally quickly. 

We are proud to share that we processed 5.9 million items annually, and we are serving more than 1200 registered merchants across 4 countries.

Problem
Southeast Asia’s e-commerce boom has caught traditional fulfilment and logistics players off-guard and unprepared. Furthermore, brick and mortar brands struggle to penetrate the region’s complex e-commerce market and have difficulty realizing meaningful sales on online marketplaces.

- Slow: The traditional fulfilment and logistics supply chain take 3-5 days, on average, to deliver a product to a customer’s doorstep, well behind international standards.
- Inefficient: Without tech-enabled optimization, fulfilment players typically hold inventory for ~90 days and have 50% utilization rates at their warehouses.
- Inaccessible: International and local brands struggle to break into the e-commerce market. iStore’s Gateway clients saw just 10-20% YoY sales growth prior to working with iStore.

Solution
iStore provides tech-enabled, end-to-end fulfilment services and can completely manage online operations for enterprise clients through its Gateway product.

- Fast: iStore is able to sort, pack, and deliver a package to a consumer’s doorstep in 2.5 days, on average.
- Efficient: By optimizing inventory and leveraging economies of scale at iStore’s state of the art facilities, iStore holds inventory for just 45 days and the company increases operational efficiency by 20–50%, with a 20–30% lower internal cost base than competitors.
- Accessible: With Gateway, brands are able to execute comprehensive plans to drive online sales. Client’s see an average 50% YoY increase in sales over the first two years of working with iStore",,iStoreiSend is on a mission to help business transcend the limits of commerce by offering a seamless omnichannel experience through an integrated supply chain platform for both your frontend & backend,E-commerce Enterprise Solution Logistics/Supply Chain,https://e27.co/startups/istore-isend
79,,KitaBeli,https://kitabeli.id/,,,March 2020,Indonesia,A social commerce platform where users can invite their friends to form groups to receive discounts from suppliers of FMGC products.,,A platform where users buy daily essentials items with their friends online,Consumer,https://e27.co/startups/kitabeli
80,,Waterdrop,https://www.shuidihuzhu.com/,,,January 2016,China,"Waterdrop is an insurance platform that plans to solve the problem of high medical fees faced by most patients. Shuidihuzhu offers three products: mutual insurance, crowdfunding and commercial insurance. All their services are conducted through the platform’s official WeChat account, where users could post crowdfunding campaigns, buy insurances, or claim indemnities according to their policies.",,An online insurance technology platform,Finance,https://e27.co/startups/waterdrop
